tile,repetition,codec,preset,qp,height,time
suburb13.y4m,0,hevc_nvenc,p1,18,0,5.326
suburb13.y4m,1,hevc_nvenc,p1,18,0,4.661
suburb13.y4m,2,hevc_nvenc,p1,18,0,4.665
suburb13.y4m,3,hevc_nvenc,p1,18,0,4.717
suburb13.y4m,4,hevc_nvenc,p1,18,0,4.648
suburb13.y4m,0,hevc_nvenc,p1,18,320,4.544
suburb13.y4m,1,hevc_nvenc,p1,18,320,4.033
suburb13.y4m,2,hevc_nvenc,p1,18,320,4.342
suburb13.y4m,3,hevc_nvenc,p1,18,320,4.257
suburb13.y4m,4,hevc_nvenc,p1,18,320,4.393
suburb13.y4m,0,hevc_nvenc,p1,20,0,4.703
suburb13.y4m,1,hevc_nvenc,p1,20,0,4.761
suburb13.y4m,2,hevc_nvenc,p1,20,0,4.658
suburb13.y4m,3,hevc_nvenc,p1,20,0,4.656
suburb13.y4m,4,hevc_nvenc,p1,20,0,4.654
suburb13.y4m,0,hevc_nvenc,p1,20,320,4.402
suburb13.y4m,1,hevc_nvenc,p1,20,320,4.413
suburb13.y4m,2,hevc_nvenc,p1,20,320,4.282
suburb13.y4m,3,hevc_nvenc,p1,20,320,4.217
suburb13.y4m,4,hevc_nvenc,p1,20,320,4.252
suburb13.y4m,0,hevc_nvenc,p1,22,0,4.671
suburb13.y4m,1,hevc_nvenc,p1,22,0,4.716
suburb13.y4m,2,hevc_nvenc,p1,22,0,4.654
suburb13.y4m,3,hevc_nvenc,p1,22,0,4.775
suburb13.y4m,4,hevc_nvenc,p1,22,0,4.682
suburb13.y4m,0,hevc_nvenc,p1,22,320,4.083
suburb13.y4m,1,hevc_nvenc,p1,22,320,4.359
suburb13.y4m,2,hevc_nvenc,p1,22,320,4.072
suburb13.y4m,3,hevc_nvenc,p1,22,320,4.375
suburb13.y4m,4,hevc_nvenc,p1,22,320,3.91
suburb13.y4m,0,hevc_nvenc,p1,24,0,4.716
suburb13.y4m,1,hevc_nvenc,p1,24,0,4.776
suburb13.y4m,2,hevc_nvenc,p1,24,0,4.61
suburb13.y4m,3,hevc_nvenc,p1,24,0,4.781
suburb13.y4m,4,hevc_nvenc,p1,24,0,4.683
suburb13.y4m,0,hevc_nvenc,p1,24,320,4.678
suburb13.y4m,1,hevc_nvenc,p1,24,320,4.072
suburb13.y4m,2,hevc_nvenc,p1,24,320,4.29
suburb13.y4m,3,hevc_nvenc,p1,24,320,4.087
suburb13.y4m,4,hevc_nvenc,p1,24,320,4.52
suburb13.y4m,0,hevc_nvenc,p1,26,0,4.659
suburb13.y4m,1,hevc_nvenc,p1,26,0,4.625
suburb13.y4m,2,hevc_nvenc,p1,26,0,4.755
suburb13.y4m,3,hevc_nvenc,p1,26,0,4.682
suburb13.y4m,4,hevc_nvenc,p1,26,0,4.695
suburb13.y4m,0,hevc_nvenc,p1,26,320,4.448
suburb13.y4m,1,hevc_nvenc,p1,26,320,4.417
suburb13.y4m,2,hevc_nvenc,p1,26,320,4.21
suburb13.y4m,3,hevc_nvenc,p1,26,320,4.373
suburb13.y4m,4,hevc_nvenc,p1,26,320,4.287
suburb13.y4m,0,hevc_nvenc,p1,28,0,4.662
suburb13.y4m,1,hevc_nvenc,p1,28,0,4.669
suburb13.y4m,2,hevc_nvenc,p1,28,0,4.708
suburb13.y4m,3,hevc_nvenc,p1,28,0,4.636
suburb13.y4m,4,hevc_nvenc,p1,28,0,4.601
suburb13.y4m,0,hevc_nvenc,p1,28,320,4.461
suburb13.y4m,1,hevc_nvenc,p1,28,320,3.989
suburb13.y4m,2,hevc_nvenc,p1,28,320,4.181
suburb13.y4m,3,hevc_nvenc,p1,28,320,4.309
suburb13.y4m,4,hevc_nvenc,p1,28,320,4.282
suburb13.y4m,0,hevc_nvenc,p1,30,0,4.669
suburb13.y4m,1,hevc_nvenc,p1,30,0,4.695
suburb13.y4m,2,hevc_nvenc,p1,30,0,4.704
suburb13.y4m,3,hevc_nvenc,p1,30,0,4.601
suburb13.y4m,4,hevc_nvenc,p1,30,0,4.679
suburb13.y4m,0,hevc_nvenc,p1,30,320,4.253
suburb13.y4m,1,hevc_nvenc,p1,30,320,4.349
suburb13.y4m,2,hevc_nvenc,p1,30,320,4.257
suburb13.y4m,3,hevc_nvenc,p1,30,320,4.147
suburb13.y4m,4,hevc_nvenc,p1,30,320,4.155
suburb13.y4m,0,hevc_nvenc,p1,32,0,4.689
suburb13.y4m,1,hevc_nvenc,p1,32,0,4.742
suburb13.y4m,2,hevc_nvenc,p1,32,0,4.686
suburb13.y4m,3,hevc_nvenc,p1,32,0,4.667
suburb13.y4m,4,hevc_nvenc,p1,32,0,4.725
suburb13.y4m,0,hevc_nvenc,p1,32,320,4.465
suburb13.y4m,1,hevc_nvenc,p1,32,320,4.305
suburb13.y4m,2,hevc_nvenc,p1,32,320,4.191
suburb13.y4m,3,hevc_nvenc,p1,32,320,4.31
suburb13.y4m,4,hevc_nvenc,p1,32,320,4.384
suburb13.y4m,0,hevc_nvenc,p1,34,0,4.673
suburb13.y4m,1,hevc_nvenc,p1,34,0,4.616
suburb13.y4m,2,hevc_nvenc,p1,34,0,4.771
suburb13.y4m,3,hevc_nvenc,p1,34,0,4.721
